3,0.000003,0.000042,0.000001
4,0.000003,0.000216,0.000001
5,0.000003,0.000195,0.000001
6,0.000003,0.000073,0.000002
7,0.000003,0.000203,0.000002
8,0.000003,0.000202,0.000003
9,0.000003,0.000203,0.000004
10,0.000003,0.000209,0.000006
11,0.000003,0.000206,0.000007
12,0.000003,0.000221,0.000009
13,0.000003,0.000067,0.000012
14,0.000003,0.000222,0.000014
15,0.000003,0.000223,0.000017
16,0.000003,0.000209,0.000021
17,0.000003,0.000250,0.000025
18,0.000003,0.000069,0.000030
19,0.000003,0.000259,0.000034
20,0.000003,0.000220,0.000044
21,0.000003,0.000079,0.000051
22,0.000003,0.000071,0.000058
23,0.000003,0.000262,0.000066
24,0.000003,0.000253,0.000075
25,0.000003,0.000258,0.000083
26,0.000003,0.000071,0.000094
27,0.000003,0.000256,0.000104
28,0.000003,0.000074,0.000116
29,0.000003,0.000075,0.000129
30,0.000003,0.000256,0.000142
31,0.000003,0.000078,0.000156
32,0.000003,0.000256,0.000171
33,0.000003,0.000092,0.000187
34,0.000003,0.000095,0.000204
35,0.000004,0.000286,0.000221
36,0.000003,0.000281,0.000241
37,0.000003,0.000288,0.000261
38,0.000003,0.000262,0.000282
39,0.000003,0.000289,0.000305
40,0.000003,0.000302,0.000327
41,0.000003,0.000293,0.000352
42,0.000004,0.000295,0.000379
43,0.000003,0.000299,0.000404
44,0.000003,0.000306,0.000433
45,0.000003,0.000307,0.000462
46,0.000003,0.000311,0.000493
47,0.000003,0.000318,0.000526
48,0.000004,0.000310,0.000562
49,0.000003,0.000319,0.000594
50,0.000003,0.000320,0.000632
51,0.000004,0.000330,0.000668
52,0.000004,0.000332,0.000708
53,0.000003,0.000341,0.000748
54,0.000003,0.000361,0.000789
55,0.000003,0.000357,0.000835
56,0.000004,0.000351,0.000882
57,0.000003,0.000368,0.000926
58,0.000003,0.000365,0.000979
59,0.000003,0.000366,0.001027
60,0.000003,0.000387,0.001079
61,0.000004,0.000382,0.001136
62,0.000004,0.000387,0.001189
63,0.000004,0.000397,0.001248
64,0.000003,0.000374,0.001305
65,0.000004,0.000409,0.001365
66,0.000004,0.000421,0.001431
67,0.000004,0.000424,0.001498
68,0.000004,0.000421,0.001562
69,0.000004,0.000604,0.001632
70,0.000004,0.000626,0.001705
71,0.000004,0.004707,0.001770
72,0.000004,0.003023,0.001851
73,0.000004,0.004720,0.001933
74,0.000004,0.004731,0.002003
75,0.000004,0.004824,0.002090
76,0.000004,0.004696,0.002172
77,0.000004,0.004738,0.002254
78,0.000004,0.004777,0.002349
79,0.000004,0.004828,0.002439
80,0.000004,0.004894,0.002534
81,0.000004,0.004896,0.002623
82,0.000004,0.004868,0.002727
83,0.000004,0.004872,0.002821
84,0.000004,0.004887,0.002927
85,0.000004,0.004858,0.003026
86,0.000004,0.004812,0.003139
87,0.000004,0.004782,0.003243
88,0.000004,0.004908,0.003357
89,0.000004,0.004976,0.003475
90,0.000004,0.004831,0.003587
91,0.000004,0.005139,0.003716
92,0.000004,0.005008,0.003827
93,0.000004,0.004944,0.003990
94,0.000004,0.004888,0.004085
95,0.000004,0.005041,0.004227
96,0.000004,0.005001,0.004348
97,0.000004,0.005131,0.004502
98,0.000004,0.005076,0.004624
99,0.000004,0.004978,0.004777
100,0.000004,0.004986,0.004907
